Forecasted,LowBound,UpBound,Shut_Off,Forecast_Rolling,UpBound_Rolling,LowBound_Rolling,SO_Rolling
449.77485318959145,443.3193505805197,456.2303557986632,420.0,448.1319024536417,454.3381351668723,441.92566974041114,420.0
450.6549324297157,444.1529917782677,457.1568730811637,420.0,448.3671313139987,454.6183794098954,442.115883218102,420.0
451.3459142535541,444.79786488623483,457.89396362087336,420.0,448.60255595966424,454.8988976469473,442.3062142723813,420.0
452.83386999610275,446.2400343294556,459.4277056627499,420.0,448.8381763906386,455.17969110499683,442.4966616762802,420.0
453.5695773067564,446.9302710869285,460.2088835265843,420.0,449.0739926069214,455.46076094703017,442.68722426681256,420.0
453.0327502458075,446.34828277542937,459.71721771618564,420.0,449.3100046085128,455.7421082756077,442.8779009414181,420.0
451.21312461021694,444.48379896462353,457.94245025581034,420.0,449.54621239541297,456.02373413618403,443.06869065464184,420.0
449.2361619556351,442.4622751890631,456.0100487222071,420.0,449.78261596762167,456.30563952021294,443.25959241503034,420.0
447.9084895091039,441.0903328514554,454.7266461667524,420.0,450.0192153251391,456.5878253680503,443.4506052822278,420.0
448.1670307148172,441.30488975953693,455.02917167009747,420.0,450.25601046796504,456.870292571673,443.641728364257,420.0
449.7707957658163,442.86495064939265,456.6766408822399,420.0,450.4930013960996,457.1530419772269,443.8329608149723,420.0
451.2547573373969,444.29685407924353,458.21266059555023,420.0,450.7301881095428,457.4360514749065,444.02432474417924,420.0
452.62344317461367,445.61716673235725,459.6297196168701,420.0,450.9675706082947,457.71933179309036,444.215809423499,420.0
453.5058718384414,446.45222118164423,460.5595224952386,420.0,451.2051488923551,458.00288591092993,444.4074118737804,420.0
454.19920308598336,447.09849427826083,461.2999118937059,420.0,451.44292296172426,458.28671493366596,444.5991309897826,420.0
455.68950825223556,448.5420511130845,462.8369653913866,420.0,451.68089281640204,458.5708199110524,444.79096572175166,420.0
456.4275649865927,449.23366329558144,463.62146667760396,420.0,451.9190584563883,458.85520184030406,444.98291507247274,420.0
455.89308734934735,448.65303903984915,463.13313565884556,420.0,452.1574198816834,459.13986166885906,445.1749780945077,420.0
454.0758111374602,446.78990848179694,461.3617137931235,420.0,452.395977092287,459.42480029696844,445.3671538876055,420.0
452.1011979065819,444.76972769306167,459.4326681201021,420.0,452.6347300881992,459.71001858012636,445.5594415962721,420.0
450.7758748837542,443.3991185860535,458.152631181455,420.0,452.87367886942,459.99551733135155,445.75184040748854,420.0
451.036765513171,443.61499945248164,458.4585315738604,420.0,453.11282343594957,460.2812973233318,445.94434954856723,420.0
452.6428799878736,445.1763754882075,460.10938448753967,420.0,453.3521637877877,460.56735929044015,446.1369682851352,420.0
454.1291909831577,446.6098332514593,461.6485487148561,420.0,453.5916999249344,460.8536833003823,446.3297165494865,420.0
